Carga 1 (grs),Desv11,Long11 (m),Radio11 (m),Carga 2 (grs),Desv21,Long 21 (m),Radio21 (m)
0,0,0.238,0.00024,0,0,0.238,0.00027
0.29,3.9284,0.238,0.00024,0.29,2.423,0.238,0.00027
0.57,7.5335,0.238,0.00024,0.57,4.6869,0.238,0.00027
0.79,10.538,0.238,0.00024,0.79,6.5423,0.238,0.00027
1.05,14.182,0.238,0.00024,1.05,8.7604,0.238,0.00027
1.4,19.051,0.238,0.00024,1.4,11.787,0.238,0.00027
1.6,21.04,0.238,0.00024,1.6,13.254,0.238,0.00027
0,0,0.2618,0.00024,0,0,0.2618,0.00027
0.29,4.7743,0.2618,0.00024,0.29,2.971,0.2618,0.00027
0.57,9.2529,0.2618,0.00024,0.57,5.7015,0.2618,0.00027
0.79,12.792,0.2618,0.00024,0.79,7.8619,0.2618,0.00027
1.05,17.012,0.2618,0.00024,1.05,10.542,0.2618,0.00027
1.4,22.526,0.2618,0.00024,1.4,14.072,0.2618,0.00027
1.6,26.001,0.2618,0.00024,1.6,16.165,0.2618,0.00027
0,0,0.2737,0.00024,0,0,0.2737,0.00027
0.29,5.2283,0.2737,0.00024,0.29,3.1494,0.2737,0.00027
0.57,10.265,0.2737,0.00024,0.57,6.2449,0.2737,0.00027
0.79,14.124,0.2737,0.00024,0.79,8.8841,0.2737,0.00027
1.05,18.531,0.2737,0.00024,1.05,11.371,0.2737,0.00027
1.4,25.233,0.2737,0.00024,1.4,15.842,0.2737,0.00027
1.6,28.451,0.2737,0.00024,1.6,17.933,0.2737,0.00027
